Max Weight Clique - MonteCarloProb Algorithm

Vertices                      Edges_Prob.                   Max_Weight                    Ops._Count                    Tested_Solutions              Search_Time
38                            0.125                         106                           70010                         75001                         1.9558689594268799
38                            0.25                          106                           120095                        64701                         3.0035462379455566
38                            0.5                           158                           101550                        36518                         3.000293493270874
38                            0.75                          186                           103548                        26030                         3.001621961593628
39                            0.125                         120                           70381                         75001                         2.08432674407959
39                            0.25                          120                           111566                        62675                         3.0023975372314453
39                            0.5                           161                           100276                        36323                         3.0023152828216553
39                            0.75                          186                           100267                        25240                         3.001453161239624
40                            0.125                         106                           69649                         75001                         2.1061625480651855
40                            0.25                          124                           99339                         59732                         3.0018045902252197
40                            0.5                           159                           96082                         35189                         3.002227306365967
40                            0.75                          186                           94054                         24010                         3.0014138221740723
41                            0.125                         120                           68444                         75001                         2.188570022583008
41                            0.25                          137                           93801                         59345                         3.0011205673217773
41                            0.5                           172                           90882                         33445                         3.0020623207092285
41                            0.75                          183                           85592                         22527                         3.0012059211730957
42                            0.125                         116                           64733                         75001                         2.5814661979675293
42                            0.25                          129                           83967                         57712                         3.000502824783325
42                            0.5                           169                           85550                         32237                         3.002108097076416
42                            0.75                          180                           83353                         22481                         3.001093864440918
43                            0.125                         104                           61038                         75001                         2.2850420475006104
43                            0.25                          129                           72986                         53908                         3.003486156463623
43                            0.5                           172                           80806                         30956                         3.0020432472229004
43                            0.75                          181                           78002                         21490                         3.0011448860168457
44                            0.125                         131                           59735                         75001                         2.381354570388794
44                            0.25                          145                           76430                         54962                         3.0034735202789307
44                            0.5                           182                           77933                         29937                         3.001739263534546
44                            0.75                          180                           74084                         21014                         3.0010881423950195
45                            0.125                         101                           55705                         75001                         2.389260768890381
45                            0.25                          123                           73437                         53298                         3.0030860900878906
45                            0.5                           182                           64945                         25914                         3.0011985301971436
45                            0.75                          182                           70408                         20279                         3.00101900100708
46                            0.125                         121                           53911                         75001                         2.475794553756714
46                            0.25                          151                           69715                         51368                         3.0033090114593506
46                            0.5                           173                           69198                         28033                         3.001497745513916
46                            0.75                          187                           65936                         19660                         3.000957489013672
47                            0.125                         117                           54501                         75001                         2.551009178161621
47                            0.25                          142                           65399                         48434                         3.0029220581054688
47                            0.5                           182                           66007                         27176                         3.001256227493286
47                            0.75                          191                           61927                         19036                         3.0009098052978516
48                            0.125                         125                           52543                         75001                         2.5998175144195557
48                            0.25                          131                           63694                         48690                         3.002542734146118
48                            0.5                           173                           61947                         26433                         3.001060724258423
48                            0.75                          184                           58355                         18666                         3.000833034515381
49                            0.125                         110                           52946                         75001                         2.7423746585845947
49                            0.25                          135                           61905                         47249                         3.0026490688323975
49                            0.5                           178                           58886                         25805                         3.001126766204834
49                            0.75                          188                           54412                         18211                         3.000950336456299
50                            0.125                         121                           51029                         73203                         3.0042917728424072
50                            0.25                          148                           59779                         45772                         3.0025417804718018
50                            0.5                           169                           54586                         24626                         3.000962257385254
50                            0.75                          183                           48950                         17326                         3.000684976577759
51                            0.125                         104                           51351                         75001                         2.933306932449341
51                            0.25                          146                           54976                         43885                         3.0024523735046387
51                            0.5                           178                           51482                         24066                         3.0010180473327637
51                            0.75                          183                           47136                         17311                         3.000589370727539
52                            0.125                         120                           51272                         75001                         2.9477832317352295
52                            0.25                          140                           52970                         42386                         3.0022575855255127
52                            0.5                           162                           48561                         23415                         3.000908136367798
52                            0.75                          189                           43444                         16942                         3.000587224960327
53                            0.125                         116                           49089                         72921                         3.004277467727661
53                            0.25                          139                           49635                         41193                         3.001831531524658
53                            0.5                           173                           41901                         21695                         3.000671863555908
53                            0.75                          182                           40475                         16536                         3.000492572784424
54                            0.125                         120                           45218                         69835                         3.004380941390991
54                            0.25                          144                           46646                         40080                         3.001741409301758
54                            0.5                           177                           42804                         22434                         3.000823974609375
54                            0.75                          184                           36392                         16143                         3.000337839126587
55                            0.125                         104                           44897                         68689                         3.003633737564087
55                            0.25                          144                           47276                         40124                         3.001660108566284
55                            0.5                           181                           41400                         22449                         3.0006213188171387
55                            0.75                          175                           34869                         16236                         3.00042724609375
